date,n_tweets,total_count,total_proportion,climate change,climate change_normalized,global warming,global warming_normalized,warming,warming_normalized,climate,climate_normalized,carbon dioxide,carbon dioxide_normalized,co2,co2_normalized,pollutionair quality,pollutionair quality_normalized,climate crisis,climate crisis_normalized,climatedenial,climatedenial_normalized,climateemergency,climateemergency_normalized,climate denial,climate denial_normalized,climateaction,climateaction_normalized,climate science,climate science_normalized,drought,drought_normalized,water level,water level_normalized
2017-12-04,1224,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2017-12-05,787,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2017-12-06,509,2,0.003929273084479371,1,0.0019646365422396855,0,0.0,0,0.0,1,0.0019646365422396855,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2017-12-07,1858,22,0.011840688912809472,2,0.001076426264800861,7,0.003767491926803014,8,0.004305705059203444,4,0.002152852529601722,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0005382131324004305,0,0.0
2017-12-08,1150,2,0.0017391304347826088,1,0.0008695652173913044,0,0.0,0,0.0,1,0.0008695652173913044,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2017-12-09,987,1,0.0010131712259371835,0,0.0,0,0.0,1,0.0010131712259371835,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2017-12-10,1014,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2017-12-11,1134,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2017-12-12,1235,2,0.0016194331983805667,1,0.0008097165991902834,0,0.0,0,0.0,1,0.0008097165991902834,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2017-12-13,1054,1,0.0009487666034155598,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0009487666034155598,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2017-12-14,1230,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2017-12-16,976,2,0.0020491803278688526,0,0.0,0,0.0,0,0.0,1,0.0010245901639344263,0,0.0,1,0.0010245901639344263,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2017-12-17,1028,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2017-12-18,706,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2017-12-19,1110,1,0.0009009009009009009,0,0.0,0,0.0,0,0.0,1,0.0009009009009009009,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2017-12-20,1001,2,0.001998001998001998,1,0.000999000999000999,0,0.0,0,0.0,1,0.000999000999000999,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2017-12-21,1023,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2017-12-22,987,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2017-12-23,744,1,0.0013440860215053765,0,0.0,0,0.0,0,0.0,1,0.0013440860215053765,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2017-12-24,739,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2017-12-25,687,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2017-12-26,806,2,0.0024813895781637717,0,0.0,0,0.0,0,0.0,1,0.0012406947890818859,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0012406947890818859,0,0.0,0,0.0
2017-12-28,998,15,0.01503006012024048,3,0.003006012024048096,4,0.004008016032064128,5,0.00501002004008016,3,0.003006012024048096,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2017-12-29,1043,4,0.003835091083413231,0,0.0,1,0.0009587727708533077,1,0.0009587727708533077,1,0.0009587727708533077,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0009587727708533077,0,0.0
2017-12-30,916,2,0.002183406113537118,0,0.0,0,0.0,1,0.001091703056768559,1,0.001091703056768559,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2017-12-31,1001,5,0.004995004995004995,1,0.000999000999000999,1,0.000999000999000999,1,0.000999000999000999,1,0.000999000999000999,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.000999000999000999,0,0.0
2018-01-01,1004,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2018-01-02,1076,3,0.0027881040892193307,0,0.0,1,0.0009293680297397769,1,0.0009293680297397769,1,0.0009293680297397769,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2018-01-03,906,1,0.0011037527593818985,0,0.0,0,0.0,0,0.0,1,0.0011037527593818985,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2018-01-04,613,1,0.0016313213703099511,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0016313213703099511,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2018-01-05,1039,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2018-01-07,1187,1,0.0008424599831508003,0,0.0,0,0.0,0,0.0,1,0.0008424599831508003,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
